size,duration_ns
0,531
100,535692
200,2370626
300,4849215
400,8912399
500,11653802
600,12239391
700,15583344
800,20144037
900,25351391
1000,31606917
1100,43755593
1200,45300290
1300,53143795
1400,62182997
1500,76810246
1600,80652911
1700,90664665
1800,103689419
1900,116038453
2000,126336574
2100,144076269
2200,151390253
2300,173259543
2400,180589750
2500,195985303
2600,212345066
2700,227662377
2800,251140203
2900,265728891
3000,283212824
3100,309225452
3200,325076666
3300,342639099
3400,364897320
3500,388975442
3600,408132158
3700,435896549
3800,457839367
3900,484797651
4000,503355441
4100,538188502
4200,563886711
4300,596462337
4400,618491246
4500,653756649
4600,685877544
4700,719354087
4800,729476248
4900,765044055
5000,788491459
5100,831621034
5200,852322247
5300,897417794
5400,926503560
5500,958111112
5600,1041130815
5700,1035022347
5800,1071926848
5900,1104435891
6000,1143421710
6100,1182835703
6200,1220277288
6300,1255546343
6400,1298710469
6500,1370638875
6600,1406375349
6700,1449114254
6800,1484657518
6900,1533286737
7000,1567912076
7100,1627856253
7200,1669553076
7300,1718951727
7400,1759428546
7500,1813867398
7600,1864244916
7700,1923419364
7800,1961270282
7900,2003883901
8000,2063037782
8100,2123689340
8200,2163153826
8300,2218965278
8400,2280723363
8500,2330198180
8600,2372699307
8700,2439037806
8800,2496206133
8900,2558030783
9000,2606499994
9100,2643534636
9200,2684947315
9300,2741691225
9400,2805389187
9500,2877145863
9600,2924243194
9700,3004598507
9800,3058020219
9900,3125694081
10000,3213414639
10100,3262151317
10200,3300052699
10300,3414957706
10400,3499099895
10500,3554919686
10600,3611570463
10700,3677732308
10800,3763619613
10900,3821022604
11000,3904117729
11100,3923544901
11200,3999604054
11300,4163198303
11400,4191671985
11500,4234770047
11600,4328845393
11700,4419686063
11800,4424922575
11900,4519755644
12000,4635021763
12100,4735209777
12200,4790288481
12300,4880887587
12400,4987816242
12500,5036369312
12600,5174796066
12700,5208838163
12800,5287709234
12900,5355229980
13000,5445956784
13100,5560448123
13200,5565612928
13300,5714911461
13400,5818904146
13500,5903450573
13600,5965930760
13700,6046367283
13800,6135980437
13900,6232961543
14000,6318256954
14100,6428883136
14200,6500476607
14300,6591515770
14400,6679346886
14500,6782179600
14600,6869074960
14700,6967693884
14800,7017885114
14900,7079870291
15000,7185462845
15100,7266677108
15200,7361260061
15300,7441961109
15400,7670434357
15500,7737633410
15600,7844613158
15700,7990558690
15800,8079913010
15900,8148474978
16000,8250758918
16100,8367753650
16200,8452738241
16300,8578096845
16400,9451877982
16500,8772953655
16600,8888369865
16700,8990196230
16800,9429872851
16900,9317474302
17000,9574129903
17100,9417049234
17200,9552363177
17300,9632806172
17400,9785866924
17500,9889816783
17600,9995828049
17700,10094744115
17800,10249782325
17900,10238494782
18000,10306220065
18100,10499145436
18200,10616140097
18300,10834184493
18400,10948993745
18500,11029304065
18600,11143338568
18700,11213290883
18800,11325087212
18900,11479311198
19000,11498018076
19100,11603668152
19200,11744023063
19300,11888100295
19400,12106732237
19500,12115257238
19600,12421144776
19700,12452449793
19800,12649546808
19900,12777151159
20000,12755325747
21000,14158145470
22000,15620109799
23000,16964854951
24000,18337849741
25000,20111135320
26000,21718951085
27000,23469617842
28000,25348801178
29000,27692079599
30000,29013976259
31000,31033667879
32000,33088306887
33000,35182550501
34000,37295312985
35000,39546509144
36000,41781063748
37000,43943867221
38000,46526681224
39000,48841974416
40000,51621666345
41000,54045832440
42000,56629856871
43000,62035541956
44000,62294146213
45000,65270694444
46000,67951949432
47000,71289714422
48000,74284869805
49000,77103074785
50000,80240806923
60000,115386765205
70000,157163550427
