size,duration_ns
0,520
100,1473
200,1319
300,1103
400,1240
500,1110
600,1373
700,1387
800,1204
900,1324
1000,1222
1100,1478
1200,1441
1300,1499
1400,1420
1500,1497
1600,1446
1700,1673
1800,1441
1900,1530
2000,1453
2100,1769
2200,1592
2300,1557
2400,1621
2500,1567
2600,1679
2700,1702
2800,1613
2900,1487
3000,1629
3100,1783
3200,1609
3300,1817
3400,1601
3500,1521
3600,1685
3700,1738
3800,1791
3900,1744
4000,1679
4100,1872
4200,1828
4300,1682
4400,1827
4500,1588
4600,1806
4700,2637
4800,1733
4900,2028
5000,1835
5100,2412
5200,2418
5300,1583
5400,1346
5500,1852
5600,1736
5700,1208
5800,1143
5900,1115
6000,1097
6100,1905
6200,1505
6300,1196
6400,1241
6500,1254
6600,1238
6700,1242
6800,1297
6900,1235
7000,1276
7100,2020
7200,1300
7300,1360
7400,1341
7500,1954
7600,2237
7700,1936
7800,1927
7900,1994
8000,1993
8100,2205
8200,2292
8300,2223
8400,2161
8500,2185
8600,1609
8700,1628
8800,1768
8900,3677
9000,3929
9100,2708
9200,3998
9300,2067
9400,2446
9500,2357
9600,3561
9700,2382
9800,3213
9900,2809
10000,1796
10100,2050
10200,2059
10300,1911
10400,1919
10500,1785
10600,1782
10700,1984
10800,3152
10900,3234
11000,3158
11100,3332
11200,3194
11300,3119
11400,3366
11500,3239
11600,3210
11700,3186
11800,3727
11900,3842
12000,3062
12100,2070
12200,1612
12300,1389
12400,1882
12500,3109
12600,2771
12700,2027
12800,1773
12900,1688
13000,1914
13100,1982
13200,1905
13300,1907
13400,1813
13500,1903
13600,2029
13700,1810
13800,1689
13900,1803
14000,1724
14100,2030
14200,1742
14300,1736
14400,1491
14500,2496
14600,5075
14700,2611
14800,1961
14900,3007
15000,2146
15100,4546
15200,3011
15300,3070
15400,1694
15500,1585
15600,1585
15700,1592
15800,1594
15900,1426
16000,1360
16100,1529
16200,1420
16300,1314
16400,1334
16500,28659
16600,1500
16700,4018
16800,2296
16900,1471
17000,1459
17100,1504
17200,1286
17300,1325
17400,1969
17500,1422
17600,1249
17700,1260
17800,1256
17900,1282
18000,1236
18100,1571
18200,1357
18300,1240
18400,1370
18500,1390
18600,1569
18700,1247
18800,1277
18900,1270
19000,1324
19100,1429
19200,1300
19300,1315
19400,1278
19500,1246
19600,1300
19700,1262
19800,1360
19900,1235
20000,9949
21000,2275
22000,2700
23000,2606
24000,2229
25000,2353
26000,2004
27000,1410
28000,1493
29000,3245
30000,5395
31000,2530
32000,2362
33000,11341
34000,84686
35000,78205
36000,25200
37000,31209
38000,25124
39000,25279
40000,27439
41000,31921
42000,37666
43000,20332
44000,23139
45000,20229
46000,24949
47000,29360
48000,26927
49000,20854
50000,22084
60000,24532
70000,26652
80000,39017
90000,33450
100000,34370
200000,206421
300000,143379
400000,208914
500000,173372
600000,227327
700000,238298
800000,274887
900000,314876
1000000,391426
