size,duration_ns
0,1151
100,553670
200,2150586
300,8514056
400,9151046
500,13449011
600,19534460
700,26154129
800,34035733
900,42850125
1000,52892280
1100,66112309
1200,79905634
1300,93233313
1400,107090989
1500,121111606
1600,138545913
1700,157191248
1800,187142587
1900,214639245
2000,219576656
2100,241727348
2200,263490149
2300,288792896
2400,309965115
2500,350708713
2600,371006186
2700,398800655
2800,423277731
2900,461139982
3000,490900858
3100,521982829
3200,553069912
3300,592364243
3400,626835851
3500,658168282
3600,699088596
3700,748422410
3800,789690533
3900,823766127
4000,871114642
4100,912555986
4200,951025040
4300,1001795261
4400,1045813323
4500,1113078668
4600,1151018475
4700,1209661541
4800,1242968349
4900,1308883927
5000,1411224410
5100,1408912657
5200,1466823255
5300,1517892875
5400,1584941067
5500,1634891812
5600,1701874634
5700,1773490273
5800,1815423835
5900,1877809243
6000,1957051783
6100,2026854000
6200,2091562806
6300,2157314758
6400,2217071088
6500,2283442649
6600,2378986211
6700,2433119966
6800,2529953225
6900,2589343303
7000,2671063464
7100,2769755901
7200,2850057652
7300,2888724952
7400,2963563351
7500,3042767109
7600,3154984768
7700,3204526931
7800,3309964493
7900,3375357408
8000,3472532030
8100,3570254379
8200,3656983306
8300,3749861529
8400,3828780677
8500,3916079228
8600,4014348994
8700,4101408519
8800,4190041848
8900,4284529335
9000,4377824263
9100,4506974122
9200,4610234376
9300,4700087162
9400,4787884589
9500,4888592009
9600,5002330350
9700,5104046675
9800,5210428597
9900,5319500670
10000,5409848466
10100,5552550821
10200,5644091156
10300,5760149382
10400,5866417318
10500,5979886189
10600,6107517545
10700,6219791980
10800,6318968397
10900,6367091179
11000,6521681154
11100,6698219232
11200,6807064810
11300,6974295972
11400,7057130685
11500,7163967368
11600,7311897201
11700,7470779711
11800,7620261003
11900,7660236553
12000,7827425969
12100,8018983418
12200,8089924731
12300,8201770232
12400,8352023790
12500,8494733329
12600,8693554305
12700,8764453390
12800,8908879341
12900,9084912881
13000,9188383449
13100,9296577170
13200,9503522858
13300,9599552205
13400,9765127032
13500,9866408244
13600,9929325215
13700,10117756740
13800,10174008736
13900,10477148350
14000,10650999784
14100,10791646777
14200,12869187802
14300,11099139700
14400,11262716603
14500,11286325344
14600,11547955686
14700,11799953729
14800,11864728204
14900,12051143086
15000,12263713190
15100,12396808341
15200,16921527773
15300,14999119379
15400,13074090517
15500,13381657764
15600,13512453794
15700,13753659943
15800,14131628140
15900,14240922541
16000,14938494540
16100,17729992987
16200,20608500090
16300,16843812182
16400,15885737587
16500,16006202321
16600,16614213159
16700,17009126730
16800,17242763271
16900,18500219938
17000,19393093432
17100,17549854984
17200,16827070313
17300,17192656951
17400,17206046998
17500,17773709625
17600,17780062377
17700,18802814915
17800,17706981421
17900,17517804855
18000,17704518498
18100,17999189836
18200,17986004527
18300,20298184994
18400,19830272456
18500,20105593271
18600,20435894445
18700,20314737164
18800,20128289645
18900,19914686713
19000,20981992163
19100,21496745109
19200,20561858733
19300,20696763905
19400,20480639800
19500,20375626248
19600,23088341721
19700,22309488832
19800,22364394820
19900,21537090155
20000,22089813764
21000,24385337876
22000,27264115961
23000,30768942918
24000,45486935551
25000,38577584903
26000,47996874626
27000,42594650916
28000,47516505870
29000,46852263966
30000,50370281813
31000,52241134656
32000,55679860913
33000,63735173201
34000,64390707640
35000,67360058488
36000,70379302317
37000,74165086737
38000,77756162735
39000,82007402902
40000,87235095954
41000,90566185975
42000,96494369300
43000,114744894907
44000,133921042049
45000,123603232199
46000,129103212370
47000,148670570401
48000,149162566177
49000,143216434437
50000,157402796668
