size,duration_ns
0,1185
100,299737
200,929910
300,2041948
400,3910836
500,6925972
600,8785125
700,11525156
800,14921264
900,16690482
1000,19748469
1100,27189830
1200,28609976
1300,32880120
1400,38530307
1500,62387859
1600,73202763
1700,63942585
1800,76621885
1900,79326487
2000,84951006
2100,96155066
2200,94638316
2300,102284646
2400,112421348
2500,122080831
2600,134409619
2700,141385768
2800,152900860
2900,162763079
3000,174005641
3100,191125458
3200,203964943
3300,211594032
3400,223938445
3500,237611027
3600,257944979
3700,265283113
3800,278957915
3900,294869216
4000,313359350
4100,328875348
4200,341968367
4300,363878285
4400,398212893
4500,402896569
4600,419463169
4700,434455726
4800,456892111
4900,471908104
5000,499969715
5100,516853321
5200,537819326
5300,552198579
5400,578738175
5500,599789460
5600,613599259
5700,643132627
5800,663815591
5900,683591676
6000,717029680
6100,739913728
6200,758102949
6300,783417070
6400,808193138
6500,838388340
6600,862164311
6700,884315254
6800,911734560
6900,934499880
7000,967881917
7100,997800716
7200,1024705143
7300,1066156062
7400,1071060960
7500,1095932909
7600,1122476790
7700,1153646652
7800,1179420648
7900,1228430959
8000,1249760018
8100,1291871892
8200,1303857831
8300,1339867374
8400,1372183848
8500,1406353609
8600,1439971482
8700,1471873096
8800,1506467366
8900,1546319535
9000,1576916014
9100,1611202002
9200,1647003530
9300,1682625777
9400,1714120350
9500,1764387074
9600,1827509856
9700,1855619359
9800,1901584478
9900,1936084413
10000,1993800917
10100,1993537449
10200,2021047473
10300,2064311375
10400,2102978001
10500,2156400246
10600,2187922844
10700,2228802206
10800,2270969292
10900,2318934796
11000,2363686477
11100,2397295994
11200,2434720317
11300,2617950608
11400,2575289560
11500,2616304204
11600,2656899136
11700,2711488137
11800,2744909045
11900,2791945889
12000,2837935137
12100,2908095867
12200,2935951410
12300,2980809127
12400,3035544182
12500,3087315514
12600,3133034594
12700,3182482313
12800,3226901288
12900,3281469233
13000,3330336298
13100,3390847932
13200,3423136337
13300,3495704115
13400,3530238445
13500,3603611805
13600,3648943680
13700,3686524282
13800,3752666872
13900,3808667616
14000,3866611045
14100,3924889901
14200,3953842150
14300,3979028870
14400,4125442955
14500,4143479185
14600,4197036979
14700,4251230796
14800,4315465494
14900,4385509968
15000,4425577090
15100,4500844715
15200,4553124127
15300,4620834952
15400,4607001465
15500,4700521699
15600,4808145257
15700,4853850811
15800,4928966889
15900,4992470227
16000,5029703954
16100,5115964773
16200,5163617339
16300,5236288567
16400,5301160704
16500,5372488576
16600,5629872359
16700,5739265672
16800,5637791887
16900,5729500030
17000,5701482935
17100,5767515939
17200,5827611056
17300,5882507481
17400,5931362104
17500,5949894174
17600,6048285339
17700,6169899499
17800,6254789929
17900,6298906998
18000,6379624641
18100,6456335001
18200,6549597896
18300,6580027068
18400,6663539569
18500,6764030972
18600,6766476430
18700,6877050411
18800,6961670977
18900,7043866414
19000,7126487826
19100,7191969292
19200,7260767292
19300,7334671449
19400,7411127165
19500,7539909229
19600,7576161925
19700,7640683015
19800,7724290945
19900,7798305603
20000,7881766884
21000,8685166090
22000,9548198118
23000,10413382673
24000,11371900828
25000,12178344275
26000,13185013354
27000,14152545832
28000,15781247960
29000,16667223358
30000,17694604915
31000,18822006623
32000,20061166664
0,1800
100,479110
200,1712790
300,5797731
400,6346211
500,10232322
600,14567273
700,8023611
800,10320582
900,12214183
1000,15246893
1100,19816194
1200,22366644
1300,27386506
1400,31299836
1500,34710417
1600,39906158
1700,43792019
1800,49553510
1900,55542451
2000,60578692
2100,67944353
2200,75023134
2300,81961597
2400,89359998
2500,96566419
2600,105660691
2700,112302612
2800,124407014
2900,134263037
3000,140076377
3100,148719500
3200,156184290
3300,166657763
3400,176226024
3500,187732687
3600,199314219
3700,209035200
3800,221693513
3900,232272635
4000,245482697
4100,262884151
4200,273590912
4300,294910476
4400,296357586
4500,308604239
4600,329009631
4700,338416374
4800,376345900
4900,406563525
5000,385770742
5100,399209243
5200,419801466
5300,428234918
5400,450253301
5500,463765554
5600,486101746
5700,499883179
5800,515540191
5900,529332722
6000,550985816
6100,575118459
6200,590413200
6300,614514864
6400,630229496
6500,641424017
6600,679091702
6700,755897923
6800,888257963
6900,815526490
7000,789343034
7100,834302899
7200,848542060
7300,872369942
7400,921941378
7500,1021338840
7600,999670075
7700,994455381
7800,1095098033
7900,1135423726
8000,1094008537
8100,1091186264
8200,1121045136
8300,1147924855
8400,1153056094
8500,1196119625
8600,1183288601
8700,1235261254
8800,1253013012
8900,1305363004
9000,1354802426
9100,1373048883
9200,1389134341
9300,1466398684
9400,1478034470
9500,1479629305
9600,1632831254
9700,1592579785
9800,1601466650
9900,1620480035
10000,1638010361
10100,1656421857
10200,1757111697
10300,1781680901
10400,1826059498
10500,1951949217
10600,2198926250
10700,1964095240
10800,1897481390
10900,1927076282
11000,1889804654
11100,1940493857
11200,2029847782
11300,2023075293
11400,2183241657
