size,duration_ns
0,2220
100,111779
200,211618
300,420496
400,1184648
500,954730
600,883941
700,1678774
800,872011
900,985730
1000,1166428
1100,1206719
1200,1275698
1300,1367637
1400,1520285
1500,1573574
1600,1756073
1700,1837262
1800,2924572
1900,2051200
2000,2387577
2100,2315618
2200,3813763
2300,2434386
2400,2526215
2500,2734293
2600,2826183
2700,3538685
2800,3004720
2900,3094190
3000,3175169
3100,3485256
3200,3365137
3300,3559785
3400,3627135
3500,4422507
3600,3800123
3700,3972932
3800,4231919
3900,4144590
4000,4185779
4100,4386377
4200,4539596
4300,4616345
4400,4710334
4500,4757234
4600,4970112
4700,4963472
4800,5269518
4900,6855063
5000,5212910
5100,5355858
5200,5563326
5300,5527236
5400,5763544
5500,5833164
5600,6106481
5700,6789414
5800,6278419
5900,6194410
6000,6458737
6100,6331678
6200,7103641
6300,6607506
6400,6772204
6500,6921772
6600,6641565
6700,7165060
6800,7300449
6900,7300219
7000,7463237
7100,7601816
7200,7685076
7300,7758944
7400,7931903
7500,8036092
7600,9097211
7700,8685166
7800,8155491
7900,8490497
8000,8472007
8100,8663026
8200,8901424
8300,9150981
8400,9113521
8500,9260120
8600,9225480
8700,9335819
8800,9398998
8900,10154591
9000,10356709
9100,9782474
9200,9782145
9300,9765935
9400,9961723
9500,10054622
9600,10168921
9700,10456758
9800,10448278
9900,10599226
10000,11308900
10100,10857404
10200,10878424
10300,11064513
10400,10853264
10500,11781265
10600,11381948
10700,12959174
10800,11530538
10900,12182211
11000,11550637
11100,11665177
11200,15499349
11300,12256280
11400,12366339
11500,12201671
11600,14090162
11700,12240251
11800,12259460
11900,12701136
12000,13242411
12100,13476439
12200,13635967
12300,13253331
12400,13261690
12500,13436769
12600,13516248
12700,13556607
12800,14739556
12900,14523228
13000,15013754
13100,14820535
13200,14756646
13300,14241031
13400,14346809
13500,14393040
13600,14455039
13700,14780565
13800,14508759
13900,15901394
14000,15826735
14100,14925585
14200,18976954
14300,15419689
14400,15302470
14500,15683396
14600,16426709
14700,15568378
14800,15612417
14900,15466739
15000,15628797
15100,16125712
15200,16176532
15300,16233461
15400,16051173
15500,16126892
15600,16682396
15700,16527468
15800,16821536
15900,16714296
16000,16699306
16100,16741776
16200,16948264
16300,17144942
16400,17097552
16500,17431669
16600,17223681
16700,17576977
16800,18014194
16900,17826475
17000,18153762
17100,18057323
17200,17881185
17300,18269190
17400,19086702
17500,18705816
17600,19083712
17700,19039143
17800,19141612
17900,19689277
18000,19152002
18100,19017763
18200,19893394
18300,19854085
18400,19829355
18500,19854845
18600,20219441
18700,20465009
18800,20530798
18900,20925494
19000,20275780
19100,20913445
19200,20596837
19300,21112592
19400,21264910
19500,21309200
19600,32242713
19700,21968584
19800,21183101
19900,21064593
20000,22089882
21000,22282031
22000,24205841
23000,24338511
24000,25877514
25000,27269491
26000,28423510
27000,29403030
28000,29812176
29000,30431610
30000,31808407
31000,33042333
32000,34250352
33000,35881996
34000,36102173
35000,37159953
36000,39094734
37000,39263321
38000,40462329
39000,41761727
40000,42095053
41000,43439060
42000,44190593
43000,45515930
44000,46666578
45000,48228372
46000,50199363
47000,50122353
48000,51458920
49000,53110973
50000,55362721
60000,68120614
70000,76324382
80000,92240723
90000,101591720
