size,duration_ns
0,587
100,3676
200,6087
300,10494
400,9424
500,15084
600,18666
700,13570
800,15589
900,26811
1000,40029
1100,31408
1200,29052
1300,31085
1400,27014
1500,28836
1600,30751
1700,32576
1800,34591
1900,36576
2000,38352
2100,40424
2200,42287
2300,44061
2400,46012
2500,44666
2600,55226
2700,48198
2800,53776
2900,51646
3000,53522
3100,61507
3200,61609
3300,63317
3400,65044
3500,66953
3600,68887
3700,81070
3800,72719
3900,74730
4000,76630
4100,78395
4200,132281
4300,82416
4400,84346
4500,86264
4600,88337
4700,104530
4800,92212
4900,94053
5000,95984
5100,97912
5200,100001
5300,101725
5400,103672
5500,105601
5600,107411
5700,109381
5800,111663
5900,113502
6000,131166
6100,183444
6200,197708
6300,112506
6400,114229
6500,131848
6600,117826
6700,119525
6800,121336
6900,145438
7000,124878
7100,171501
7200,149431
7300,142036
7400,132002
7500,168104
7600,135733
7700,137522
7800,180906
7900,143111
8000,142775
8100,201310
8200,147471
8300,159824
8400,162412
8500,170533
8600,233478
8700,171575
8800,219426
8900,173841
9000,201341
9100,176882
9200,248093
9300,182280
9400,180092
9500,181819
9600,183758
9700,188480
9800,187506
9900,198809
10000,191667
10100,213314
10200,195361
10300,197177
10400,199221
10500,200956
10600,300861
10700,212001
10800,194406
10900,194260
11000,207503
11100,328768
11200,289477
11300,201024
11400,202841
11500,205134
11600,208213
11700,209454
11800,210901
11900,213093
12000,214519
12100,328298
12200,217352
12300,219063
12400,220802
12500,222545
12600,224399
12700,325529
12800,227988
12900,281493
13000,231371
13100,233455
13200,235000
13300,236950
13400,238630
13500,240508
13600,242239
13700,300756
13800,272608
13900,247406
14000,249301
14100,251514
14200,252772
14300,280686
14400,256242
14500,258245
14600,414438
14700,283475
14800,288055
14900,265225
15000,277307
15100,337478
15200,340207
15300,298300
15400,300738
15500,349787
15600,299865
15700,324343
15800,313062
15900,304163
16000,306388
16100,355896
16200,312805
16300,487632
16400,315200
16500,331309
16600,295537
16700,297225
16800,479904
16900,337453
17000,305988
17100,308543
17200,307160
17300,344438
17400,309833
17500,386997
17600,325666
17700,333959
17800,316814
17900,318551
18000,372630
18100,322315
18200,324084
18300,353485
18400,356317
18500,484376
18600,331054
18700,332765
18800,342477
18900,336300
19000,338119
19100,341697
19200,369079
19300,343506
19400,345197
19500,428300
19600,411883
19700,555646
19800,403338
19900,414716
20000,409952
21000,414213
22000,457667
23000,487411
24000,471309
25000,521236
26000,546141
27000,518836
28000,532812
29000,516063
30000,543777
31000,601259
32000,669429
33000,625712
34000,638556
35000,669921
36000,640150
37000,701933
38000,702807
39000,718687
40000,737046
41000,754883
42000,746910
43000,814015
44000,996015
45000,915151
46000,926782
47000,951564
48000,957671
49000,906900
50000,929926
60000,1112524
70000,1308629
80000,1502320
90000,1624355
100000,1825778
200000,4172298
300000,5500526
400000,7334002
500000,9217015
600000,10994710
700000,12868264
800000,14673193
900000,16552763
1000000,18477930
