size,duration_ns
0,1644
100,90971
200,272878
300,596668
400,1006455
500,1927344
600,2389402
700,3186078
800,4245382
900,5055068
1000,5873729
1100,9020542
1200,10167854
1300,11470956
1400,12952292
1500,13036422
1600,14608056
1700,17879866
1800,18773566
1900,20866223
2000,23142391
2100,32454502
2200,28885144
2300,30491092
2400,32504125
2500,35587799
2600,39018001
2700,41871508
2800,45284678
2900,48472736
3000,51517850
3100,63172112
3200,58659302
3300,61668579
3400,65830311
3500,69547755
3600,73696940
3700,78683528
3800,86065852
3900,85966873
4000,89417502
4100,99568326
4200,98888921
4300,105922222
4400,110066265
4500,113963587
4600,121699631
4700,126315020
4800,130856763
4900,136905015
5000,142548024
5100,156349525
5200,153770839
5300,160211004
5400,164958572
5500,170769833
5600,178579957
5700,187863735
5800,195788882
5900,199309421
6000,204890043
6100,219192643
6200,215829112
6300,227620094
6400,231122626
6500,240424528
6600,250634362
6700,258991546
6800,263534101
6900,274979458
7000,276599898
7100,288853955
7200,293475472
7300,303917321
7400,312163676
7500,319006874
7600,329097699
7700,338674023
7800,344182582
7900,354958592
8000,362868976
8100,378604915
8200,379395690
8300,394898463
8400,400949779
8500,410875596
8600,422187640
8700,428390834
8800,437719037
8900,449899381
9000,459999142
9100,475903053
9200,474004009
9300,495325012
9400,502030985
9500,509947020
9600,518545099
9700,539161945
9800,545773319
9900,556884453
10000,568408072
10100,581580240
10200,592221940
10300,607575189
10400,615616012
10500,627638439
10600,635707243
10700,651046866
10800,659637455
10900,708340475
11000,707614763
11100,700490343
11200,715134315
11300,723827469
11400,739645425
11500,754255740
11600,763961957
11700,785379649
11800,791116393
11900,805180602
12000,817999192
12100,834066016
12200,846990347
12300,858635133
12400,870718649
12500,883953918
12600,901527470
12700,920259331
12800,935106004
12900,946845048
13000,957842572
13100,977391892
13200,991353519
13300,1008096368
13400,1021911595
13500,1033168954
13600,1050382397
13700,1061904147
13800,1084545424
13900,1096978176
14000,1107576158
14100,1119407025
14200,1127743529
14300,1148244775
14400,1167579509
14500,1187159013
14600,1192589709
14700,1210997783
14800,1224294352
14900,1242618733
15000,1258104542
15100,1282641280
15200,1290467000
15300,1308586609
15400,1323767041
15500,1343742978
15600,1360462337
15700,1386705732
15800,1403415775
15900,1411650140
16000,1434029158
16100,1454341670
16200,1467262709
16300,1485366515
16400,1499942045
16500,1531401495
16600,1537181533
16700,1561025173
16800,1597056646
16900,1597634968
17000,1612522751
17100,1637932756
17200,1658109483
17300,1683958059
17400,1692685630
17500,1711941054
17600,1732921125
17700,1760473796
17800,1768822986
17900,1791452159
18000,1817247378
18100,1835756248
18200,1851435467
18300,1878698887
18400,1889888291
18500,1920005940
18600,1957214702
18700,1980349921
18800,2001343269
18900,2025391800
19000,2043810019
19100,2072968107
19200,2098715214
19300,2109889948
19400,2130593500
19500,2166362615
19600,2148438198
19700,2174404151
19800,2210130656
19900,2213072296
20000,2235383234
21000,2499806826
22000,2705935792
23000,2965449181
24000,3214647993
25000,3494072697
26000,3781750713
27000,4074489298
28000,4376620944
29000,4738130537
30000,5050543052
31000,5376302584
32000,5716895351
33000,6097193685
34000,6451916565
35000,6877996244
36000,7329193815
37000,7659031369
38000,8072032826
39000,8633045216
40000,8941214868
41000,9402501495
42000,9849357092
43000,10335092674
44000,11097472985
45000,11626766722
46000,11851193883
47000,12326986286
48000,12886440698
49000,13574034486
50000,14153740355
