size,duration_ns
0,606
100,12316
200,23301
300,36400
400,49005
500,62039
600,69045
700,97203
800,65247
900,80013
1000,67715
1100,128216
1200,112141
1300,88710
1400,107747
1500,101639
1600,108220
1700,114938
1800,121571
1900,128495
2000,165819
2100,253491
2200,150955
2300,158094
2400,182214
2500,178909
2600,176404
2700,182534
2800,214596
2900,213175
3000,202892
3100,355905
3200,394038
3300,360620
3400,414979
3500,380126
3600,393510
3700,432151
3800,399518
3900,458547
4000,455929
4100,458271
4200,476411
4300,463435
4400,501995
4500,517323
4600,493946
4700,525385
4800,548655
4900,528140
5000,538248
5100,584375
5200,627351
5300,614047
5400,594769
5500,606671
5600,671309
5700,694447
5800,625787
5900,403287
6000,376993
6100,562862
6200,417451
6300,395428
6400,450986
6500,407844
6600,484000
6700,571207
6800,430602
6900,468192
7000,440073
7100,644528
7200,451835
7300,501077
7400,498712
7500,481916
7600,688254
7700,530728
7800,505989
7900,495532
8000,529614
8100,650005
8200,544038
8300,520724
8400,552846
8500,796347
8600,604540
8700,573415
8800,590578
8900,638725
9000,955474
9100,1002956
9200,1050120
9300,1037774
9400,1058455
9500,1048179
9600,1065681
9700,1067352
9800,1146952
9900,1125360
10000,1136596
10100,1189703
10200,643337
10300,821744
10400,736715
10500,658730
10600,664771
10700,676117
10800,679993
10900,744014
11000,798084
11100,969054
11200,1178689
11300,1121035
11400,1294632
11500,1274568
11600,1284240
11700,1317059
11800,1309616
11900,1345743
12000,805089
12100,880232
12200,804336
12300,804950
12400,926883
12500,832729
12600,882618
12700,808097
12800,862723
12900,894304
13000,879391
13100,854869
13200,853349
13300,875936
13400,908709
13500,875922
13600,880756
13700,884523
13800,865298
13900,929229
14000,922322
14100,1144783
14200,1085322
14300,998620
14400,1004147
14500,1002344
14600,1044304
14700,1019220
14800,1015808
14900,1048054
15000,1068352
15100,1110911
15200,990022
15300,1259743
15400,1025511
15500,1021882
15600,1072043
15700,1072946
15800,1026026
15900,1049309
16000,1008551
16100,1051223
16200,1081185
16300,1073741
16400,1204371
16500,1270610
16600,1194327
16700,1175358
16800,1322451
16900,1166346
17000,1411846
17100,1116273
17200,1116150
17300,1193319
17400,1154371
17500,1204538
17600,1163903
17700,1202535
17800,1176268
17900,1126546
18000,1178871
18100,1161162
18200,1166611
18300,1201687
18400,1241966
18500,1371044
18600,1339006
18700,1308350
18800,1365971
18900,1305554
19000,1487073
19100,1260423
19200,1257094
19300,1284993
19400,1262084
19500,1326450
19600,1408950
19700,1288332
19800,1272605
19900,1301618
20000,1300364
21000,1346531
22000,1443883
23000,2413820
24000,2654902
25000,2842960
26000,1808022
27000,2231949
28000,1955664
29000,2112728
30000,2751508
31000,2066780
32000,2340802
33000,3608879
34000,3828963
35000,4029133
36000,2801860
37000,2457486
38000,2635515
39000,2564384
40000,2985828
41000,2815096
42000,4780767
43000,4147477
44000,2963016
45000,3086452
46000,3017838
47000,3407227
48000,3213362
49000,3315768
50000,3215393
60000,3893719
70000,4448786
80000,5183509
90000,5961326
100000,6791741
200000,12866349
300000,19084559
400000,27574441
500000,34617068
600000,41369271
700000,44786926
800000,51738910
900000,57903151
1000000,63864857
